#,Player,UUID,Country,Role,Bowling Style,Bowl Balls,Wickets,Economy,Bat Innings,Bat Runs,Style
1,SP Narine,9d430b40,West Indies,Bowling All-rounder,Right-arm off-break,8982,408,6.09,242,3186,OB
2,DJ Bravo,87e562a9,West Indies,Batting All-rounder,Right-arm fast-medium,8000,460,8.02,309,4816,RAFM
3,Rashid Khan,5f547c8b,ICC World XI,Bowling All-rounder,Right-arm leg-break googly,6240,339,6.59,149,1303,LBG
4,R Ashwin,495d42a5,India,Bowling All-rounder,Right-arm off-break,6090,254,6.89,111,1017,OB
5,B Kumar,2e81a32d,India,Bowler,Right-arm fast-medium,5989,283,7.21,90,387,RAFM
6,Imran Tahir,acee4cc4,South Africa,Bowler,Right-arm leg-break googly,5706,365,6.71,50,223,LBG
7,AD Russell,bbd41817,West Indies,Batting All-rounder,Right-arm fast-medium,5652,332,8.82,337,6542,RAFM
8,A Zampa,14f96089,Australia,Bowler,Right-arm leg-break googly,5586,305,7.38,71,257,LBG
9,YS Chahal,57ee1fde,India,Bowler,Right-arm leg-break googly,5555,317,7.81,23,43,LBG
10,Imad Wasim,9cb8d7a6,Pakistan,Batting All-rounder,Slow left-arm orthodox,5434,237,6.53,190,2882,SLA
11,RA Jadeja,fe93fd9d,India,Batting All-rounder,Slow left-arm orthodox,5352,221,7.4,232,3768,SLA
12,JO Holder,0f721006,West Indies,Bowling All-rounder,Right-arm fast-medium,5258,274,7.97,187,2548,RAFM
13,Shakib Al Hasan,7dc35884,Bangladesh,Batting All-rounder,Slow left-arm orthodox,5207,264,6.93,231,4086,SLA
14,JJ Bumrah,462411b3,India,Bowler,Right-arm fast-medium,5079,286,6.69,32,76,RAFM
15,SL Malinga,a12e1d51,Sri Lanka,Bowler,Right-arm fast-medium,4933,295,6.73,52,226,RAFM
16,Shadab Khan,9de62878,Pakistan,Bowling All-rounder,Right-arm leg-break googly,4891,269,7.33,150,2378,LBG
17,CJ Jordan,ffe699c0,England,Bowling All-rounder,Right-arm fast-medium,4809,254,8.52,124,1051,RAFM
18,AR Patel,2e171977,India,Batting All-rounder,Slow left-arm orthodox,4720,205,7.26,174,2585,SLA
19,Mohammad Amir,e174dadd,Pakistan,Bowler,Left-arm fast-medium,4465,235,7.03,61,277,LAFM
20,TA Boult,a818c1be,New Zealand,Bowler,Left-arm fast-medium,4214,229,7.89,40,175,LAFM
21,AJ Hosein,4d7f517e,West Indies,Bowling All-rounder,Slow left-arm orthodox,4108,191,6.85,99,893,SLA
22,CJ Green,19b9f399,Australia,Bowling All-rounder,Right-arm fast-medium,4067,166,6.69,130,1260,RAFM
23,Mustafizur Rahman,0a8fce53,Bangladesh,Bowler,Left-arm fast-medium,4052,222,7.3,44,106,LAFM
24,SR Watson,4329fbb5,Australia,Batting All-rounder,Right-arm fast-medium,4021,189,7.66,302,8143,RAFM
25,Haris Rauf,24bb1c2f,Pakistan,Bowler,Right-arm fast,4011,254,8.28,51,240,RAF
26,Harbhajan Singh,8b5b6769,India,Bowling All-rounder,Right-arm off-break,4004,175,6.75,100,941,OB
27,PP Chawla,98ae73b1,India,Bowler,Right-arm leg-break googly,3988,196,7.79,87,624,LBG
28,DW Steyn,8fd1a8f5,South Africa,Bowler,Right-arm fast,3980,211,6.64,52,219,RAF
29,TG Southee,13c35c9e,New Zealand,Bowler,Right-arm fast-medium,3969,211,8.0,65,423,RAFM
30,Shaheen Shah Afridi,45a7e761,Pakistan,Bowling All-rounder,Left-arm fast,3949,246,7.53,75,663,LAF
31,AJ Tye,7c7d63a2,Australia,Bowler,Right-arm fast-medium,3945,250,7.97,65,451,RAFM
32,KA Pollard,a757b0d8,West Indies,Batting All-rounder,Right-arm fast-medium,3910,193,8.13,441,9577,RAFM
33,Sohail Tanvir,64d43928,Pakistan,Bowling All-rounder,Left-arm fast-medium,3887,190,6.99,104,1047,LAFM
34,Shahid Afridi,0dc00542,ICC World XI,Bowling All-rounder,Right-arm leg-break googly,3810,176,6.89,162,2333,LBG
35,PWH de Silva,a97c8ec2,Sri Lanka,Bowling All-rounder,Right-arm leg-break googly,3802,264,7.13,129,1554,LBG
36,K Rabada,e62dd25d,South Africa,Bowling All-rounder,Right-arm fast,3728,216,8.06,62,448,RAF
37,Wahab Riaz,b3118300,Pakistan,Bowler,Left-arm fast,3706,201,7.41,91,685,LAF
38,A Mishra,6b19d823,India,Bowling All-rounder,Right-arm leg-break googly,3599,190,7.13,55,381,LBG
39,Fawad Ahmed,22ae3041,Australia,Bowler,Right-arm leg-break googly,3584,172,6.92,30,86,LBG
40,M Theekshana,f24c6701,Sri Lanka,Bowler,Right-arm off-break,3579,165,7.01,56,189,OB
41,HH Pandya,dbe50b21,India,Batting All-rounder,Right-arm fast-medium,3571,179,8.36,238,4693,RAFM
42,KW Richardson,dfc4d8b5,Australia,Bowling All-rounder,Right-arm fast,3543,201,7.84,59,384,RAF
43,Hasan Ali,2911de16,Pakistan,Bowler,Right-arm fast-medium,3535,215,7.99,71,496,RAFM
44,Mohammad Nawaz (3),3086f7a4,Pakistan,Bowling All-rounder,Slow left-arm orthodox,3480,161,7.4,139,1933,SLA
45,T Shamsi,a03bba42,South Africa,Bowler,Left-arm wrist-spin,3449,204,7.15,33,44,LWS
46,DT Christian,2a2e6343,Australia,Batting All-rounder,Right-arm fast-medium,3395,164,8.07,204,3067,RAFM
47,JP Faulkner,808f425a,Australia,Batting All-rounder,Left-arm fast-medium,3278,196,7.93,117,1384,LAFM
48,S Lamichhane,b410bd3d,ICC World XI,Bowler,Right-arm leg-break googly,3265,221,6.47,36,132,LBG
49,D Wiese,aa8d28ae,South Africa,Batting All-rounder,Right-arm fast-medium,3258,178,7.91,137,1956,RAFM
50,GJ Maxwell,b681e71e,Australia,Batting All-rounder,Right-arm off-break,3236,134,7.84,357,8704,OB
51,UT Yadav,cc1e8c68,India,Bowler,Right-arm fast,3236,156,8.21,50,230,RAF
52,MJ Santner,e4a0deae,New Zealand,Bowling All-rounder,Slow left-arm orthodox,3229,161,6.79,103,1099,SLA
53,PJ Cummins,ded9240e,Australia,Bowling All-rounder,Right-arm fast,3157,158,7.96,79,928,RAF
54,JP Behrendorff,4933f499,Australia,Bowling All-rounder,Left-arm fast-medium,3157,186,7.17,28,122,LAFM
55,CR Brathwaite,e342e5fb,West Indies,Bowling All-rounder,Right-arm fast-medium,3127,161,7.96,139,1551,RAFM
56,SA Abbott,1a2676c5,Australia,Bowler,Right-arm fast-medium,3109,210,8.35,85,678,RAFM
57,Arshdeep Singh,244048f6,India,Bowler,Left-arm fast-medium,3101,201,8.27,34,105,LAFM
58,Mohammed Shami,8cf9814c,India,Bowler,Right-arm fast-medium,3100,157,8.36,30,91,RAFM
59,Sandeep Sharma,ce820073,India,Bowler,Right-arm fast-medium,3087,147,7.79,27,61,RAFM
60,AS Joseph,b0946605,West Indies,Bowling All-rounder,Right-arm fast,3069,174,8.19,66,457,RAF
61,Kuldeep Yadav,8d2c70ad,India,Bowling All-rounder,Left-arm wrist-spin,3065,189,7.47,45,248,LWS
62,NM Coulter-Nile,56ab442f,Australia,Bowler,Right-arm fast-medium,3038,172,7.41,77,577,RAFM
63,IS Sodhi,641ac5ff,New Zealand,Bowler,Right-arm leg-break googly,3027,180,7.73,45,244,LBG
64,AU Rashid,249d60c9,England,Bowler,Right-arm leg-break googly,3006,161,7.34,43,220,LBG
65,BJ Dwarshuis,e1b9f3a9,Australia,Bowling All-rounder,Left-arm fast-medium,2964,177,8.04,76,780,LAFM
66,M Morkel,5bb5a915,South Africa,Bowler,Right-arm fast,2945,140,7.27,30,154,RAF
67,HV Patel,f986ca1a,India,Bowler,Right-arm fast-medium,2927,180,8.39,51,347,RAFM
68,CH Morris,fb66ce1f,South Africa,Bowling All-rounder,Right-arm fast-medium,2908,168,7.76,88,1060,RAFM
69,Faheem Ashraf,bd4ea627,Pakistan,Bowling All-rounder,Right-arm fast-medium,2880,158,8.14,120,1517,RAFM
70,AC Agar,a2421394,Australia,Bowling All-rounder,Slow left-arm orthodox,2866,118,6.96,94,1053,SLA
71,J Botha,7c503806,South Africa,Bowling All-rounder,Right-arm off-break,2837,111,6.77,96,1230,OB
72,KH Pandya,5b8c830e,India,Batting All-rounder,Slow left-arm orthodox,2808,108,7.29,124,1880,SLA
73,MA Starc,3fb19989,Australia,Bowler,Left-arm fast,2747,164,7.57,45,222,LAF
74,NT Ellis,9eb1455b,Australia,Bowler,Right-arm fast-medium,2736,162,7.85,56,408,RAFM
75,DR Sams,caf69bf7,Australia,Bowling All-rounder,Left-arm fast-medium,2734,164,8.31,105,1144,LAFM
76,S Badree,76388dc8,ICC World XI,Bowler,Right-arm leg-break googly,2718,121,6.51,35,132,LBG
77,I Sharma,5bb1a1c4,India,Bowler,Right-arm fast-medium,2697,104,7.95,24,65,RAFM
78,R Shepherd,c5aef772,West Indies,Batting All-rounder,Right-arm fast-medium,2689,165,8.89,114,1773,RAFM
79,NLTC Perera,0f12f9df,Sri Lanka,Batting All-rounder,Right-arm fast-medium,2673,124,8.75,169,2661,RAFM
80,P Kumar,e938e1bc,India,Bowler,Right-arm fast-medium,2662,96,7.4,60,347,RAFM
81,JC Archer,5574750c,England,Bowling All-rounder,Right-arm fast,2653,142,7.49,51,410,RAF
82,Mohammed Siraj,2f49c897,India,Bowler,Right-arm fast-medium,2648,123,8.12,25,126,RAFM
83,Sikandar Raza,26d041c4,Zimbabwe,Batting All-rounder,Right-arm off-break,2640,136,6.89,164,3459,OB
84,CV Varun,5b7ab5a9,India,Bowler,Right-arm off-break,2593,155,7.27,17,28,OB
85,MP Stoinis,d9273ee7,Australia,Batting All-rounder,Right-arm fast-medium,2592,142,8.71,272,6375,RAFM
86,Mohammad Hafeez,9ab63e7b,Pakistan,Batting All-rounder,Right-arm off-break,2591,112,6.38,234,5017,OB
87,JR Hazlewood,03806cf8,Australia,Bowling All-rounder,Right-arm fast-medium,2575,159,7.48,20,60,RAFM
88,Mujeeb Ur Rahman,7d92277a,Pakistan,Bowler,Right-arm off-break,2572,113,6.55,30,133,OB
89,SN Thakur,1abb78f8,India,Bowling All-rounder,Right-arm fast-medium,2558,140,8.89,46,394,RAFM
90,SS Cottrell,a1d053dd,West Indies,Bowler,Left-arm fast-medium,2549,143,7.46,39,200,LAFM
91,MM Sharma,759ac88f,India,Bowler,Right-arm fast,2541,140,8.52,32,128,RAF
92,Z Khan,91a4a398,India,Bowler,Left-arm fast-medium,2516,118,7.29,30,130,LAFM
93,MJ McClenaghan,51a3c5ef,ICC World XI,Bowler,Left-arm fast-medium,2508,126,8.05,39,147,LAFM
94,Ravi Bishnoi,df064e1a,India,Bowler,Right-arm leg-break googly,2507,130,7.59,28,100,LBG
95,IK Pathan,5fa06777,India,Batting All-rounder,Left-arm fast-medium,2504,107,7.61,99,1376,LAFM
96,JD Unadkat,1e66c162,India,Bowling All-rounder,Left-arm fast-medium,2482,124,8.65,27,197,LAFM
97,A Nehra,96fd40ae,India,Bowler,Left-arm fast-medium,2472,137,7.57,22,69,LAFM
98,JA Morkel,c3d35165,South Africa,Batting All-rounder,Right-arm fast,2469,115,7.81,117,1710,RAF
99,A Nortje,acdc62f5,South Africa,Bowler,Right-arm fast,2445,138,7.87,32,113,RAF
100,DL Chahar,23eeb873,India,Bowling All-rounder,Right-arm fast-medium,2431,119,7.86,20,170,RAFM
101,B Laughlin,b2a79f17,Australia,Bowler,Right-arm fast-medium,2427,135,8.01,35,143,RAFM
102,BCJ Cutting,2e11c706,Australia,Batting All-rounder,Right-arm fast-medium,2417,110,8.77,154,2597,RAFM
103,RP Meredith,64775749,Australia,Bowler,Right-arm fast,2417,139,7.98,15,31,RAF
104,PVD Chameera,327b58d3,Sri Lanka,Bowler,Right-arm fast,2399,118,8.07,48,205,RAF
105,Mohammad Nabi,62af8546,Australia,Bowling All-rounder,Right-arm off-break,2393,97,6.88,109,1720,OB
106,JH Kallis,86dc8f2e,South Africa,Batting All-rounder,Right-arm fast-medium,2387,92,7.42,142,3706,RAFM
107,M Muralitharan,4ba44e19,Sri Lanka,Bowler,Right-arm off-break,2362,106,6.17,14,22,OB
108,MG Johnson,f5180fe6,Australia,Bowling All-rounder,Left-arm fast,2336,120,7.18,46,280,LAF
109,SM Curran,e94915e6,England,Batting All-rounder,Left-arm fast-medium,2334,111,8.87,91,1447,LAFM
110,DL Vettori,d7c6af50,New Zealand,Bowler,Slow left-arm orthodox,2320,86,6.2,53,412,SLA
111,R Vinay Kumar,41eb4a4f,India,Bowler,Right-arm fast-medium,2316,115,8.13,43,312,RAFM
112,CJ Boyce,51a60c16,Australia,Bowler,Right-arm leg-break googly,2313,118,7.42,48,331,LBG
113,Naseem Shah,9c9af282,Pakistan,Bowler,Right-arm fast,2268,104,7.63,45,204,RAF
114,MM Ali,bb351c23,England,Batting All-rounder,Right-arm off-break,2267,115,7.55,163,2786,OB
115,B Lee,dd09ff8e,Australia,Bowling All-rounder,Right-arm fast,2221,86,6.95,45,307,RAF
116,AD Mathews,896d78ad,Sri Lanka,Batting All-rounder,Right-arm fast-medium,2195,83,7.34,152,3015,RAFM
117,OC McCoy,529eb9e0,West Indies,Bowler,Left-arm fast-medium,2164,127,8.22,30,148,LAFM
118,WD Parnell,3a60e0b5,South Africa,Bowling All-rounder,Left-arm fast-medium,2147,110,7.76,48,399,LAFM
119,JA Richardson,1ee08e9a,Australia,Bowling All-rounder,Right-arm fast,2141,125,7.64,45,344,RAF
120,SNJ O'Keefe,3540beff,Australia,Bowling All-rounder,Slow left-arm orthodox,2117,105,6.46,42,349,SLA
121,Avesh Khan,eef2536f,India,Bowling All-rounder,Right-arm fast-medium,2094,113,8.7,18,89,RAFM
122,GB Hogg,f708a0bc,Australia,Bowler,Left-arm wrist-spin,2085,88,6.92,22,123,LWS
123,TK Curran,e86754b2,England,Bowling All-rounder,Right-arm fast-medium,2070,122,8.61,61,664,RAFM
124,LH Ferguson,2f9d0389,New Zealand,Bowler,Right-arm fast,2065,124,7.57,21,108,RAF
125,DJ Willey,7f048519,England,Bowling All-rounder,Left-arm fast-medium,2062,114,7.74,57,581,LAFM
126,Washington Sundar,f19ccfad,India,Bowling All-rounder,Right-arm off-break,2057,89,7.13,65,765,OB
127,R Rampaul,d68e7f48,West Indies,Bowler,Right-arm fast-medium,2047,125,7.78,25,136,RAFM
128,PM Siddle,bd93fea4,Australia,Bowler,Right-arm fast-medium,2039,122,7.31,25,69,RAFM
129,PP Ojha,6c6591ab,India,Bowler,Slow left-arm orthodox,2025,99,7.08,20,26,SLA
130,D Pretorius,11614d87,South Africa,Batting All-rounder,Right-arm fast-medium,2016,123,7.82,68,980,RAFM
131,Ehsan Khan,d3851cd8,Hong Kong,Bowling All-rounder,Slow left-arm orthodox,2012,131,6.03,50,358,SLA
132,Mohammad Hasnain,8596fe80,Pakistan,Bowler,Right-arm fast,2005,106,8.33,27,91,RAF
133,Shoaib Malik,64c34cd0,ICC World XI,Batting All-rounder,Right-arm off-break,2002,81,6.82,302,7281,OB
134,MJ Swepson,86b4bf88,Australia,Bowler,Right-arm leg-break googly,1983,85,7.4,33,116,LBG
135,I Udana,ac5ae4af,Sri Lanka,Bowling All-rounder,Left-arm fast-medium,1973,96,8.53,66,751,LAFM
136,RP Singh,c3d1402f,India,Bowler,Left-arm fast-medium,1973,105,7.38,30,55,LAFM
137,RE van der Merwe,05c2ca46,South Africa,Bowling All-rounder,Left-arm wrist-spin,1954,106,6.66,70,818,LWS
138,DJG Sammy,c03c6200,ICC World XI,Batting All-rounder,Right-arm fast-medium,1953,86,7.9,175,2530,RAFM
139,MG Neser,0164b064,Australia,Bowling All-rounder,Right-arm fast-medium,1953,110,8.18,67,665,RAFM
140,KK Ahmed,a2f46292,India,Bowler,Left-arm fast-medium,1952,105,8.49,8,3,LAFM
141,Noor Ahmad,efc04be7,Pakistan,Bowler,Left-arm wrist-spin,1915,101,6.87,25,102,LWS
142,FA Allen,b52ffbbd,West Indies,Bowling All-rounder,Slow left-arm orthodox,1864,88,7.79,110,1385,SLA
143,B Muzarabani,449f4e3c,Zimbabwe,Bowler,Right-arm fast,1863,99,6.79,25,49,RAF
