cricsheet_key,country,status,candidates,reason
"A Tripathi",,ambiguous,5,"multiple candidates after filtering"
"AR Nair",,ambiguous,6,"multiple candidates after filtering"
"DK Butler",,ambiguous,5,"multiple candidates after filtering"
"Gagandeep Singh",,ambiguous,9,"multiple candidates after filtering"
"J van Heerden",,ambiguous,3,"multiple candidates after filtering"
"Mohammad Asghar",,ambiguous,4,"multiple candidates after filtering"
"Nazmus Sakib",,ambiguous,5,"multiple candidates after filtering"
"Ibrahim Zadran",Afghanistan,ambiguous,2,"multiple candidates after filtering"
"Mohammad Nabi",Afghanistan,ambiguous,2,"multiple candidates after filtering"
"A Symonds",Australia,ambiguous,2,"multiple candidates after filtering"
"AJ McKay",Australia,ambiguous,3,"multiple candidates after filtering"
"AW Robinson",Australia,ambiguous,2,"multiple candidates after filtering"
"C Green",Australia,ambiguous,2,"multiple candidates after filtering"
"HTRY Thornton",Australia,ambiguous,2,"multiple candidates after filtering"
"MJ Buchanan",Australia,ambiguous,2,"multiple candidates after filtering"
"Abdul Majid",Bahrain,ambiguous,2,"multiple candidates after filtering"
"Anamul Haque",Bangladesh,ambiguous,2,"multiple candidates after filtering"
"Ariful Haque",Bangladesh,ambiguous,2,"multiple candidates after filtering"
"Mosaddek Hossain",Bangladesh,ambiguous,2,"multiple candidates after filtering"
"Mustafizur Rahman",Bangladesh,ambiguous,2,"multiple candidates after filtering"
"Nazmul Hossain",Bangladesh,ambiguous,3,"multiple candidates after filtering"
"Raqibul Hasan",Bangladesh,ambiguous,2,"multiple candidates after filtering"
"Robiul Islam",Bangladesh,ambiguous,3,"multiple candidates after filtering"
"Shahadat Hossain",Bangladesh,ambiguous,2,"multiple candidates after filtering"
"C Trott",Bermuda,ambiguous,2,"multiple candidates after filtering"
"J Edness",Bermuda,ambiguous,2,"multiple candidates after filtering"
"RJ Trott",Bermuda,ambiguous,2,"multiple candidates after filtering"
"K Dorji",Bhutan,ambiguous,2,"multiple candidates after filtering"
"Karma Dorji",Bhutan,ambiguous,2,"multiple candidates after filtering"
"R Limbu",Bhutan,ambiguous,2,"multiple candidates after filtering"
"S Pradhan",Bhutan,ambiguous,2,"multiple candidates after filtering"
"Tshering Tashi",Bhutan,ambiguous,2,"multiple candidates after filtering"
"U Dorji",Bhutan,ambiguous,2,"multiple candidates after filtering"
"Ugyen Dorji",Bhutan,ambiguous,2,"multiple candidates after filtering"
"A Bagai",Canada,ambiguous,2,"multiple candidates after filtering"
"Pargat Singh",Canada,ambiguous,2,"multiple candidates after filtering"
"AAP Atkinson",England,ambiguous,3,"multiple candidates after filtering"
"JN Snape",England,ambiguous,2,"multiple candidates after filtering"
"LJ Wright",England,ambiguous,3,"multiple candidates after filtering"
"OJ Pope",England,ambiguous,2,"multiple candidates after filtering"
"S Baker",England,ambiguous,2,"multiple candidates after filtering"
"SM Davies",England,ambiguous,3,"multiple candidates after filtering"
"SS Eskinazi",England,ambiguous,2,"multiple candidates after filtering"
"A Chopra",India,ambiguous,6,"multiple candidates after filtering"
"A Choudhary",India,ambiguous,3,"multiple candidates after filtering"
"A Manohar",India,ambiguous,3,"multiple candidates after filtering"
"A Mishra",India,ambiguous,3,"multiple candidates after filtering"
"A Singh",India,ambiguous,3,"multiple candidates after filtering"
"A Tomar",India,ambiguous,4,"multiple candidates after filtering"
"AA Chavan",India,ambiguous,4,"multiple candidates after filtering"
"AG Murtaza",India,ambiguous,2,"multiple candidates after filtering"
"AN Ahmed",India,ambiguous,3,"multiple candidates after filtering"
"AS Yadav",India,ambiguous,3,"multiple candidates after filtering"
"Anirudh Singh",India,ambiguous,2,"multiple candidates after filtering"
"BA Bhatt",India,ambiguous,3,"multiple candidates after filtering"
"G Gambhir",India,ambiguous,2,"multiple candidates after filtering"
"Harbhajan Singh",India,ambiguous,2,"multiple candidates after filtering"
"K Yadav",India,ambiguous,3,"multiple candidates after filtering"
"M Kaif",India,ambiguous,3,"multiple candidates after filtering"
"M Tiwari",India,ambiguous,3,"multiple candidates after filtering"
"P Negi",India,ambiguous,3,"multiple candidates after filtering"
"PA Reddy",India,ambiguous,3,"multiple candidates after filtering"
"PVSN Raju",India,ambiguous,7,"multiple candidates after filtering"
"Prince Yadav",India,ambiguous,2,"multiple candidates after filtering"
