#,Player,Country,Role,Balls,Wickets,Economy,Style,UUID
1,Khalid Zahid,,Batter,515,21,6.57,,5c93efb1
2,Usman Tariq,,Bowler,514,38,6.98,,e94d1dcd
3,Usman Khalid,,Batter,512,26,5.71,,314f0889
4,Gulsan Jha,,Batter,512,28,7.00,,9811e35e
5,LB Williams,,Bowler,511,28,9.09,,a1d95bd8
6,Z Burgess,,Bowler,511,22,5.21,,d0042e16
7,Mohammad Naveed,,Batter,508,32,5.46,,4861d29b
8,A Dutt,,Batter,506,25,6.71,,803dbf1d
9,Sirajullah Khadim,,Bowler,506,35,5.92,,ff36e706
10,Bilal Muhammad,,Batter,504,28,6.12,,eb5aa5b9
11,Qamar Mushtaque,,Batter,503,37,6.37,,fc362c5d
12,S Dube,,Batter,502,25,9.06,,a4e37e47
13,Haroon Arshad,,Batter,502,30,7.82,,be0f9ce9
14,Basil Hameed,,Batter,500,38,6.76,,adbf0400
15,Umair Tariq,,Bowler,499,45,7.25,,67ec2b09
16,H Fennell,,Bowler,499,37,5.48,,0d38ab25
17,TH David,,Batter,498,10,8.36,,f1f99156
18,Mudassar Bukhari,,Bowler,495,30,6.41,,37312a74
19,Naveed Ahmed,,Batter,492,24,6.96,,87609cbb
20,A Nanda,,Bowler,492,23,7.43,,704e0160
21,Sameen Gul,,Bowler,492,26,8.30,,3be224b0
22,Adnan Idrees,,Batter,491,31,7.56,,0e34c23a
23,LC Hatcher,,Bowler,491,27,7.87,,8f3fde65
24,A Kirschbaum,,Batter,487,26,5.75,,d953bf92
25,J Edwards,,Batter,486,27,7.54,,f787e0eb
26,SSB Magala,,Bowler,485,26,8.24,,8361e524
27,MB Tambe,,Bowler,482,27,6.73,,1c1bb0d5
28,Muhammad Amir,,Batter,481,36,6.55,,60bec5c3
29,R Sakurano-Thomas,,Batter,481,32,6.54,,dd14abf5
30,HNA Conway,,Bowler,481,20,8.21,,272fc5ad
31,SF Tiai,,Batter,480,28,7.05,,bf19d427
32,SA Jacobs,,Bowler,480,17,7.29,,f8cdc4d7
