id,name,city,country,total_matches,avg_first_inn_runs,avg_second_inn_runs,bat_factor,bowl_factor,pace_index,spin_index,boundary_rate
298,AMI Stadium,Christchurch,,,,,,,,,
232,"Achimota Senior Secondary School A Field, Accra",Accra,,8,154.25,109.125,0.9982311540533793,1.001771980306804,0.8846153846153846,0.11538461538461542,0.11395713538944068
233,"Achimota Senior Secondary School B Field, Accra",Accra,,6,132.83333333333334,94.5,0.966728787989503,1.0344162834745936,0.8505747126436781,0.14942528735632188,0.11094452773613193
3,Adelaide Oval,,,92,167.72826086956522,148.7826086956522,1.0662460803248401,0.937869801777224,0.9261565836298933,0.07384341637010672,0.15609981515711646
68,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,,108,149.38888888888889,133.89814814814815,0.9683506401053626,1.0326837806305302,0.8876967095851216,0.11230329041487841,0.13903381257716357
97,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,,29,149.31034482758622,124.24137931034483,0.9775004980887063,1.0230173815310444,0.8951612903225806,0.10483870967741937,0.13905645784996132
211,"Amini Park, Port Moresby",Port Moresby,,17,129.11764705882354,92.47058823529412,0.9227580430181062,1.0837077038410363,0.8663366336633663,0.13366336633663367,0.0931940129906806
229,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,,8,141.5,120.75,0.9747607854502174,1.0258927266325402,0.8515625,0.1484375,0.13059125964010282
321,"Arun Jaitley Stadium, Delhi",Delhi,,104,172.0,157.16504854368932,1.0907228573730317,0.916823181287743,0.867862969004894,0.132137030995106,0.1766302146618064
341,Aurora Stadium,Launceston,,8,143.125,113.375,0.9777521069388557,1.022754124387211,0.9263157894736842,0.0736842105263158,0.12409638554216867
274,"Ballpark Ground, Graz",Graz,,,,,,,,,
42,Barabati Stadium,Cuttack,,11,160.8181818181818,137.27272727272728,1.0128191959683166,0.9873430558787339,0.8814814814814815,0.11851851851851847,0.15521924718665114
189,"Barsapara Cricket Stadium, Guwahati",Guwahati,,8,181.25,172.0,1.0479331110953694,0.9542593791647003,0.8901098901098901,0.10989010989010994,0.19001528273051452
7,Bay Oval,Mount Maunganui,,18,157.05555555555554,148.5,1.005629643228041,0.9944018722340265,0.896551724137931,0.10344827586206895,0.16917399943230202
127,Bayer Uerdingen Cricket Ground,Krefeld,,35,141.4,112.68571428571428,0.9433753864665521,1.0600234162834559,0.8402366863905325,0.1597633136094675,0.12577239958805356
212,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,,64,122.390625,94.49180327868852,0.8388906540055895,1.1920504719240048,0.8926014319809069,0.10739856801909309,0.09690844233055886
